iter	MAE	RMSE
0	31.71041724	37.91320133
1	31.49707268	37.66274621
2	31.28130661	37.40703134
3	31.08676098	37.17633515
4	30.89819811	36.95672989
5	30.71713741	36.74053913
6	30.53847428	36.51644693
7	30.38117002	36.31348753
8	30.22957137	36.11924066
9	30.10532199	35.95638245
10	29.98250134	35.79019949
11	29.86389579	35.63037948
12	29.76059322	35.491896
13	29.65204719	35.35290782
14	29.54724326	35.21939033
15	29.43698587	35.08786706
16	29.34491968	34.97567978
17	29.25571253	34.86977752
18	29.17043843	34.77185718
19	29.06990333	34.65868037
20	28.98577802	34.56677714
21	28.90175205	34.47721305
22	28.80988143	34.37925421
23	28.72482716	34.28871032
24	28.62790353	34.18570069
25	28.55015	34.1033013
26	28.47324515	34.02220927
27	28.39292572	33.93924333
28	28.3363843	33.88538294
29	28.26112316	33.80799607
30	28.184597	33.72942414
31	28.10924698	33.65063812
32	28.04486789	33.58879058
33	27.97554822	33.51557142
34	27.91232287	33.45364073
35	27.85725755	33.40063394
36	27.8137052	33.358999
37	27.75901632	33.30437121
38	27.70970423	33.25952974
39	27.6620988	33.21466981
40	27.62925247	33.18747932
41	27.58665363	33.1510688
42	27.5410206	33.10860897
43	27.4982947	33.0696634
44	27.45474946	33.030616
45	27.41410868	32.9959715
46	27.36197734	32.94482801
47	27.31826233	32.9044285
48	27.2774571	32.86863933
49	27.22902677	32.82101233
50	27.19725706	32.79394179
51	27.16783128	32.76729902
52	27.13686304	32.73968313
53	27.09817681	32.7074548
54	27.04495699	32.65388682
55	27.00354886	32.6174177
56	26.96363173	32.57997621
57	26.93528293	32.55495087
58	26.9066445	32.53363618
59	26.87608753	32.5045345
60	26.84603694	32.47901292
61	26.81999777	32.45859962
62	26.79632858	32.43782016
63	26.76434905	32.40787656
64	26.74191808	32.39011728
65	26.70464365	32.35736727
66	26.67663206	32.33352551
67	26.65853247	32.31945344
68	26.63880319	32.30114027
69	26.60958751	32.27617873
70	26.58239219	32.25290556
71	26.55829498	32.23049338
72	26.52979106	32.20282889
73	26.50571297	32.18294489
74	26.48009789	32.16142596
75	26.45654677	32.14096721
76	26.43742959	32.11984329
77	26.41620925	32.10184242
78	26.39728906	32.08450072
79	26.3729047	32.05959016
80	26.34082922	32.03119615
81	26.31587926	32.00797404
82	26.29709734	31.98847093
83	26.28276527	31.977649
84	26.25841637	31.95576597
85	26.24378548	31.94321677
86	26.21882184	31.91447686
87	26.20780649	31.90397226
88	26.1930002	31.89100372
89	26.1793185	31.88080922
90	26.17938095	31.88080592
91	26.16168653	31.86518741
92	26.14963936	31.85671337
93	26.13723876	31.84482281
94	26.11992685	31.82499145
95	26.1017713	31.81123308
96	26.08710532	31.80012812
97	26.07495844	31.78759896
98	26.06441847	31.77660259
99	26.05070826	31.76377328
100	26.03791275	31.75121351
101	26.01629303	31.73102533
102	25.99733585	31.7123017
103	25.98033061	31.69246957
104	25.97126993	31.68262871
105	25.95688361	31.66763631
106	25.94044661	31.65183318
107	25.93507015	31.64721281
108	25.93137378	31.64394635
109	25.91741613	31.63122165
110	25.89801268	31.61071162
111	25.89066366	31.60607894
112	25.88720751	31.60079967
113	25.87949018	31.59353166
114	25.86447947	31.57720241
115	25.85518246	31.57095751
116	25.84974409	31.56563541
117	25.83591807	31.55271529
118	25.82547225	31.54383075
119	25.81879389	31.53790517
120	25.80334576	31.52274238
121	25.79297214	31.51302689
122	25.77696051	31.49705286
123	25.76021125	31.48146884
124	25.74923578	31.47059012
125	25.73595364	31.45746183
126	25.72729255	31.45149516
127	25.72230308	31.44770445
128	25.7102133	31.43341807
129	25.69792625	31.42190661
130	25.68995437	31.41416843
131	25.68329278	31.40842947
132	25.67095347	31.39588339
133	25.66330423	31.38790897
134	25.64884312	31.37181107
135	25.64076439	31.36362896
136	25.62745498	31.34685493
137	25.61454778	31.33133875
138	25.60659091	31.32238181
139	25.59992134	31.31740534
140	25.58905864	31.30646873
141	25.5795261	31.29689535
142	25.57176292	31.28994724
143	25.55992469	31.27559085
144	25.55757107	31.27304337
145	25.54630297	31.25962091
146	25.53772164	31.25105489
147	25.52196517	31.23596796
148	25.51092123	31.22423531
149	25.49701063	31.20831328
150	25.48644993	31.19634223
151	25.47621369	31.1836061
152	25.46563635	31.17408617
153	25.45315541	31.15943196
154	25.44490682	31.15139917
155	25.43697297	31.14159797
156	25.43113962	31.13539887
157	25.42313569	31.12733919
158	25.41605344	31.12177161
159	25.40666627	31.11211975
160	25.39802042	31.10346039
161	25.39413381	31.10032896
162	25.38737923	31.09280023
163	25.37511874	31.08333754
164	25.36102024	31.06592614
165	25.34726198	31.0501475
166	25.33836344	31.04133289
167	25.33416153	31.03566244
168	25.32424836	31.02566951
169	25.31965731	31.02161624
170	25.31684505	31.01608727
171	25.30813971	31.00450021
172	25.30087854	30.9982217
173	25.29089293	30.98745021
174	25.28005379	30.97540168
175	25.27711969	30.97350171
176	25.27407322	30.97033444
177	25.27166534	30.96341476
178	25.25880832	30.95095156
179	25.24875842	30.94047779
180	25.24345516	30.93463681
181	25.24032693	30.93004513
182	25.22916154	30.9168553
183	25.2229919	30.91065653
184	25.21656779	30.90436881
185	25.20532701	30.89282053
186	25.20245801	30.88968587
187	25.19054442	30.87539846
188	25.18747682	30.87011465
189	25.17755137	30.86027409
190	25.16463512	30.84265757
191	25.16013334	30.83629523
192	25.15242878	30.82792288
193	25.14853622	30.82315943
194	25.14444011	30.81828795
195	25.13647935	30.810756
196	25.12764907	30.80352853
197	25.12130673	30.79607687
198	25.11151177	30.78352038
199	25.10986152	30.78254164
200	25.09949313	30.76869419
201	25.0903562	30.75837174
202	25.08082318	30.74879563
203	25.07601512	30.74384586
204	25.0740652	30.74113985
205	25.06171595	30.72704269
206	25.05476008	30.71912092
207	25.05014744	30.71400445
208	25.04996077	30.71362973
209	25.04750772	30.71168231
210	25.03992191	30.70346698
211	25.03588119	30.69795737
212	25.02311726	30.68234986
213	25.017892	30.67534492
214	25.01541478	30.67298587
215	25.00744561	30.66445173
216	25.0015818	30.65813571
217	24.99578815	30.65173524
218	24.99331164	30.64979153
219	24.9886753	30.64477843
220	24.98194514	30.63581805
221	24.96861935	30.6226839
222	24.9681899	30.62180077
223	24.96194284	30.61689015
224	24.95161466	30.60509914
225	24.941914	30.59425804
226	24.93805734	30.59180318
227	24.93346685	30.58738684
228	24.93081347	30.58482227
229	24.91660384	30.56854291
230	24.90601296	30.55736589
231	24.8986439	30.55061082
232	24.89846452	30.5505206
233	24.89123021	30.54252113
234	24.88670745	30.53670407
235	24.87098398	30.52038545
236	24.86485483	30.51303028
237	24.85275055	30.49790957
238	24.84639867	30.49043976
239	24.84227116	30.48625706
240	24.8322808	30.47646037
241	24.81992761	30.46512337
242	24.81645911	30.46237647
243	24.80746095	30.45521763
244	24.79963884	30.4449167
245	24.78438716	30.42436528
246	24.78444183	30.42428034
247	24.77986071	30.41870678
248	24.76669174	30.40575023
249	24.75924536	30.39760982
250	24.74570703	30.38305523
251	24.73843624	30.37398939
252	24.73223991	30.36577934
253	24.72141339	30.35241137
254	24.7139353	30.34474731
255	24.70539013	30.33522112
256	24.69792503	30.32632958
257	24.69546008	30.32390797
258	24.68219821	30.3065838
259	24.66854751	30.29338152
260	24.66405006	30.28882408
261	24.65978143	30.2844116
262	24.65973089	30.28330574
263	24.65692083	30.27926093
264	24.65684984	30.27916236
265	24.65474728	30.27578529
266	24.6531056	30.27312383
