iter	Passed	Remaining
0	49	149041
1	78	117976
2	106	106664
3	123	92445
4	138	82846
5	149	74495
6	164	70497
7	181	67890
8	212	70663
9	225	67545
10	243	66230
11	264	65768
12	268	61778
13	283	60466
14	312	62142
15	335	62537
16	338	59444
17	340	56433
18	344	54039
19	357	53233
20	361	51225
21	385	52130
22	402	52054
23	424	52581
24	438	52173
25	458	52409
26	481	53063
27	501	53247
28	509	52163
29	532	52714
30	552	52919
31	574	53255
32	595	53514
33	622	54312
34	631	53481
35	639	52679
36	644	51610
37	665	51863
38	687	52218
39	705	52193
40	709	51192
41	724	51039
42	732	50351
43	746	50141
44	768	50462
45	789	50673
46	800	50317
47	832	51222
48	865	52125
49	879	51919
50	908	52556
51	939	53252
52	971	54006
53	993	54210
54	1022	54776
55	1071	56342
56	1120	57835
57	1147	58192
58	1180	58821
59	1218	59727
60	1248	60164
61	1289	61085
62	1330	62022
63	1370	62852
64	1394	62946
65	1413	62831
66	1440	63070
67	1473	63513
68	1489	63280
69	1518	63559
70	1554	64131
71	1577	64138
72	1602	64244
73	1626	64309
74	1659	64734
75	1694	65211
76	1721	65340
77	1744	65356
78	1771	65503
79	1807	65981
80	1836	66193
81	1860	66195
82	1888	66385
83	1925	66838
84	1945	66729
85	1974	66894
86	2004	67100
87	2036	67373
88	2067	67630
89	2098	67837
90	2105	67298
91	2127	67250
92	2155	67367
93	2193	67818
94	2216	67771
95	2245	67939
96	2267	67871
97	2304	68237
98	2337	68483
99	2381	69058
100	2405	69039
101	2446	69502
102	2476	69646
103	2512	69957
104	2543	70116
105	2573	70253
106	2606	70475
107	2635	70569
108	2645	70158
109	2671	70177
110	2705	70409
111	2736	70574
112	2758	70482
113	2785	70514
114	2815	70631
115	2841	70655
116	2865	70598
117	2910	71094
118	2935	71057
119	2968	71251
120	2987	71093
121	3020	71244
122	3054	71434
123	3087	71618
124	3113	71611
125	3138	71582
126	3177	71883
127	3210	72034
128	3242	72157
129	3255	71878
130	3290	72066
131	3331	72373
132	3362	72480
133	3387	72457
134	3420	72597
135	3455	72769
136	3483	72789
137	3520	73018
138	3558	73250
139	3592	73381
140	3626	73534
141	3658	73629
142	3688	73687
143	3722	73822
144	3750	73839
145	3767	73650
146	3794	73648
147	3823	73674
148	3853	73727
149	3869	73527
150	3907	73719
151	3935	73729
152	3968	73849
153	3996	73848
154	4026	73911
155	4057	73967
156	4091	74084
157	4121	74137
158	4150	74166
159	4178	74175
160	4213	74307
161	4228	74079
162	4254	74047
163	4286	74127
164	4314	74127
165	4347	74229
166	4382	74339
167	4415	74427
168	4459	74700
169	4483	74630
170	4505	74530
171	4528	74456
172	4553	74416
173	4583	74444
174	4610	74420
175	4640	74460
176	4660	74335
177	4672	74074
178	4689	73902
179	4724	74022
180	4753	74032
181	4761	73731
182	4785	73671
183	4809	73599
184	4843	73692
185	4864	73587
186	4910	73866
187	4943	73935
188	4973	73969
189	4996	73895
190	5024	73891
191	5046	73808
192	5075	73820
193	5107	73868
194	5136	73893
195	5166	73912
196	5189	73844
197	5225	73954
198	5256	73982
199	5261	73658
200	5283	73581
201	5299	73412
202	5321	73315
203	5355	73396
204	5380	73364
205	5404	73296
206	5429	73259
207	5484	73614
208	5500	73449
209	5514	73268
210	5544	73292
211	5574	73307
212	5605	73348
213	5622	73193
214	5647	73150
215	5667	73045
216	5692	73007
217	5711	72885
218	5742	72925
219	5762	72816
220	5792	72843
221	5817	72793
222	5825	72549
223	5844	72428
224	5865	72339
225	5897	72391
226	5925	72386
227	5949	72330
228	5981	72374
229	6009	72380
230	6043	72444
231	6065	72371
232	6070	72088
233	6098	72086
234	6121	72021
235	6150	72029
236	6175	71989
237	6202	71985
238	6234	72018
239	6262	72013
240	6298	72103
241	6327	72115
242	6360	72161
243	6383	72105
244	6414	72127
245	6453	72250
246	6459	71992
247	6478	71889
248	6520	72042
249	6548	72038
250	6570	71964
251	6602	71994
252	6632	72017
253	6662	72030
254	6691	72027
255	6722	72056
256	6754	72090
257	6782	72088
258	6811	72083
259	6842	72109
260	6867	72065
261	6891	72014
262	6931	72129
263	6952	72048
264	6962	71856
265	6993	71877
266	7010	71758
267	7033	71697
268	7056	71638
269	7086	71652
270	7122	71726
271	7149	71701
272	7158	71507
273	7172	71356
274	7201	71359
275	7230	71364
276	7256	71333
277	7291	71398
278	7321	71405
279	7343	71334
280	7364	71262
281	7384	71177
282	7419	71230
283	7450	71247
284	7483	71288
285	7514	71310
286	7543	71307
287	7574	71326
288	7606	71350
289	7629	71299
290	7660	71310
291	7681	71236
292	7698	71127
293	7728	71133
294	7733	70915
295	7760	70889
296	7790	70905
297	7808	70798
298	7845	70869
299	7876	70889
300	7910	70927
301	7935	70891
302	7958	70838
303	7967	70660
304	7993	70632
305	8023	70637
306	8054	70654
307	8088	70695
308	8122	70736
309	8157	70783
310	8162	70576
311	8191	70575
312	8219	70560
313	8250	70575
314	8284	70616
315	8313	70608
316	8343	70613
317	8381	70689
318	8411	70697
319	8435	70648
320	8466	70662
321	8497	70674
322	8517	70596
323	8542	70550
324	8568	70522
325	8593	70491
326	8620	70468
327	8653	70497
328	8687	70526
329	8716	70522
330	8751	70568
331	8785	70598
332	8816	70608
333	8860	70727
334	8891	70736
335	8922	70739
336	8940	70650
337	8972	70662
338	8995	70612
339	9031	70657
340	9070	70726
341	9096	70696
342	9122	70662
343	9152	70666
344	9181	70660
345	9212	70667
346	9241	70653
347	9282	70738
348	9334	70902
349	9359	70865
350	9386	70841
351	9415	70832
352	9446	70832
353	9471	70794
354	9498	70772
355	9529	70778
356	9563	70804
357	9597	70825
358	9632	70861
359	9662	70855
360	9686	70807
361	9703	70715
362	9722	70630
363	9749	70603
364	9795	70715
365	9825	70708
366	9861	70749
367	9877	70642
368	9899	70580
369	9930	70587
370	9957	70562
371	9993	70601
372	10009	70496
373	10041	70504
374	10073	70516
375	10103	70509
376	10134	70510
377	10157	70460
378	10195	70505
379	10228	70523
380	10262	70541
381	10294	70551
382	10330	70585
383	10353	70533
384	10376	70480
385	10405	70469
386	10441	70501
387	10476	70525
388	10504	70508
389	10536	70516
390	10564	70491
391	10598	70511
392	10619	70444
393	10648	70429
394	10677	70419
395	10708	70417
396	10738	70408
397	10773	70434
398	10830	70598
399	10857	70573
400	10888	70573
401	10921	70579
402	10955	70601
403	10991	70630
404	11015	70583
405	11043	70556
406	11075	70562
407	11110	70586
408	11153	70658
409	11176	70604
410	11194	70517
411	11224	70504
412	11258	70522
413	11293	70544
414	11323	70532
415	11344	70464
416	11373	70451
417	11403	70439
418	11431	70419
419	11458	70385
420	11492	70404
421	11519	70375
422	11553	70384
423	11568	70282
424	11602	70297
425	11631	70279
426	11665	70294
427	11676	70166
428	11708	70171
429	11739	70166
430	11753	70055
431	11782	70043
432	11834	70162
433	11866	70162
434	11902	70184
435	11929	70155
436	11955	70117
437	11986	70111
438	12017	70107
439	12050	70114
440	12086	70134
441	12127	70182
442	12151	70139
443	12171	70066
444	12199	70042
445	12221	69987
446	12236	69890
447	12253	69803
448	12290	69828
449	12325	69844
450	12358	69848
451	12384	69813
452	12400	69721
453	12414	69617
454	12438	69574
455	12471	69576
456	12503	69575
457	12533	69562
458	12552	69487
459	12584	69488
460	12613	69472
461	12646	69475
462	12674	69448
463	12699	69411
464	12727	69383
465	12760	69387
466	12787	69359
467	12815	69336
468	12853	69366
469	12892	69400
470	12922	69386
471	12946	69341
472	12978	69335
473	13008	69324
474	13042	69329
475	13072	69319
476	13106	69323
477	13127	69261
478	13150	69212
479	13180	69199
480	13216	69216
481	13235	69142
482	13276	69184
483	13305	69164
484	13315	69049
485	13325	68932
486	13356	68924
487	13392	68939
488	13424	68934
489	13456	68929
490	13486	68914
491	13514	68891
492	13540	68857
493	13558	68780
494	13588	68768
495	13609	68706
496	13639	68689
497	13666	68659
498	13693	68633
499	13713	68566
500	13743	68554
501	13771	68526
502	13827	68643
503	13856	68622
504	13888	68618
505	13924	68633
506	13937	68533
507	13966	68515
508	13996	68498
509	14033	68515
510	14067	68522
511	14089	68465
512	14103	68374
513	14133	68358
514	14161	68333
515	14190	68310
516	14218	68286
517	14244	68253
518	14267	68203
519	14297	68186
520	14318	68128
521	14354	68142
522	14398	68191
523	14421	68145
524	14449	68119
525	14477	68093
526	14506	68072
527	14535	68054
528	14567	68043
529	14585	67975
530	14608	67923
531	14636	67902
532	14667	67889
533	14694	67860
534	14722	67833
535	14746	67787
536	14782	67799
537	14805	67753
538	14861	67854
539	14892	67843
540	14921	67821
541	14951	67805
542	14983	67796
543	15014	67787
544	15046	67776
545	15080	67779
546	15096	67698
547	15120	67658
548	15139	67592
549	15167	67566
550	15203	67573
551	15236	67572
552	15270	67570
553	15308	67590
554	15344	67598
555	15371	67570
556	15400	67548
557	15426	67511
558	15455	67488
559	15481	67455
560	15510	67432
561	15540	67416
562	15570	67399
563	15595	67360
564	15626	67344
565	15654	67321
566	15686	67310
567	15708	67257
568	15738	67240
569	15771	67235
570	15800	67214
571	15826	67180
572	15845	67113
573	15897	67192
574	15932	67193
575	15965	67186
576	15991	67152
577	16024	67148
578	16059	67149
579	16091	67140
580	16112	67084
581	16145	67076
582	16178	67073
583	16206	67047
584	16240	67044
585	16269	67020
586	16303	67018
587	16334	67006
588	16365	66991
589	16405	67011
590	16429	66969
591	16457	66941
592	16488	66927
593	16519	66912
594	16550	66897
595	16582	66885
596	16611	66862
597	16639	66835
598	16669	66818
599	16696	66785
600	16734	66798
601	16763	66775
602	16795	66764
603	16825	66743
604	16858	66738
605	16884	66701
606	16943	66797
607	16974	66783
608	16999	66740
609	17019	66684
610	17050	66667
611	17077	66635
612	17107	66616
613	17137	66596
614	17169	66585
615	17203	66579
616	17237	66573
617	17272	66575
618	17304	66561
619	17336	66548
620	17373	66555
621	17402	66532
622	17419	66461
623	17452	66453
624	17476	66410
625	17504	66383
626	17528	66341
627	17554	66305
628	17585	66288
629	17604	66228
630	17631	66193
631	17657	66158
632	17689	66146
633	17712	66101
634	17732	66042
635	17765	66034
636	17800	66032
637	17834	66025
638	17866	66013
639	17894	65987
640	17959	66094
641	17990	66077
642	18025	66074
643	18060	66070
644	18096	66074
645	18129	66063
646	18155	66026
647	18184	66003
648	18222	66010
649	18254	65998
650	18287	65985
651	18316	65962
652	18351	65959
653	18385	65953
654	18426	65968
655	18453	65936
656	18483	65914
657	18514	65896
658	18548	65891
659	18581	65880
